time_step,neutron_id,x,y,type
0,1,6,10,fast
0,2,7,7,fast
0,3,9,7,fast
0,4,7,8,fast
0,6,7,8,fast
0,7,9,7,fast
0,9,5,6,fast
0,10,7,8,epithermal
0,11,6,5,fast
0,12,5,7,fast
0,13,4,8,epithermal
0,14,6,9,fast
0,15,6,7,fast
0,16,8,6,fast
0,17,4,10,fast
0,18,7,6,epithermal
0,19,5,5,fast
0,20,7,8,fast
0,21,6,9,fast
0,22,6,7,fast
0,24,6,8,fast
0,26,7,9,fast
0,27,8,8,epithermal
0,28,8,10,epithermal
0,29,8,6,epithermal
0,30,7,9,fast
0,32,7,7,fast
0,33,10,5,fast
0,34,8,6,fast
0,35,9,9,fast
0,36,7,7,fast
0,37,7,7,epithermal
0,38,9,6,fast
0,39,8,8,fast
0,41,7,11,fast
0,42,6,5,epithermal
0,43,4,5,epithermal
0,44,12,6,epithermal
0,45,6,9,fast
0,46,9,9,epithermal
0,47,10,9,fast
0,49,8,6,fast
1,1,5,8,fast
1,2,5,5,fast
1,3,7,5,fast
1,4,7,10,epithermal
1,7,9,5,fast
1,9,5,8,epithermal
1,10,6,6,epithermal
1,11,8,3,fast
1,13,6,9,thermal
1,15,4,7,fast
1,16,9,6,fast
1,17,6,10,epithermal
1,18,6,7,thermal
1,19,4,6,fast
1,20,6,10,epithermal
1,21,6,10,fast
1,22,5,9,epithermal
1,24,4,7,fast
1,29,10,7,epithermal
1,32,9,7,fast
1,34,10,5,fast
1,35,7,11,epithermal
1,36,7,5,fast
1,37,9,5,thermal
1,38,8,6,fast
1,41,9,12,fast
1,42,6,4,epithermal
1,43,5,5,thermal
1,44,12,7,epithermal
1,45,5,8,fast
1,47,10,10,fast
1,49,9,4,fast
2,50,6,9,fast
2,51,9,5,fast
2,1,3,8,fast
2,2,3,7,fast
2,3,7,4,fast
2,7,8,5,fast
2,10,8,4,epithermal
2,11,7,2,fast
2,13,6,9,thermal
2,15,3,7,epithermal
2,16,8,4,fast
2,17,7,8,epithermal
2,18,7,6,thermal
2,19,2,5,fast
2,20,6,11,thermal
2,22,5,11,epithermal
2,24,4,6,fast
2,32,9,8,fast
2,34,8,5,fast
2,35,8,10,thermal
2,37,9,5,thermal
2,38,8,8,fast
2,41,9,10,epithermal
2,43,4,3,thermal
2,44,14,7,epithermal
2,47,10,11,fast
2,49,9,6,epithermal
3,52,6,11,fast
3,53,8,10,fast
3,54,9,5,fast
3,55,4,3,fast
3,50,8,9,fast
3,51,8,5,fast
3,1,2,8,fast
3,2,4,7,epithermal
3,3,7,5,epithermal
3,7,7,5,fast
3,10,6,6,thermal
3,11,8,1,fast
3,13,7,7,thermal
3,15,3,5,thermal
3,17,9,8,epithermal
3,18,7,5,thermal
3,19,3,5,fast
3,20,6,11,thermal
3,22,4,12,epithermal
3,24,3,6,fast
3,32,9,10,fast
3,34,10,5,fast
3,35,8,10,thermal
3,37,9,5,thermal
3,38,8,9,fast
3,41,9,9,thermal
3,43,4,3,thermal
3,44,14,5,thermal
3,47,11,11,epithermal
3,49,11,7,epithermal
4,56,3,5,fast
4,57,7,5,fast
4,58,8,10,fast
4,59,8,10,fast
4,60,9,5,fast
4,61,9,9,fast
4,62,14,5,fast
4,52,6,10,epithermal
4,53,10,10,epithermal
4,50,8,7,epithermal
4,51,8,7,fast
4,3,9,6,thermal
4,7,9,4,fast
4,10,5,8,thermal
4,11,8,0,epithermal
4,13,5,6,thermal
4,15,3,5,thermal
4,17,10,8,epithermal
4,18,7,5,thermal
4,19,1,6,fast
4,20,7,9,thermal
4,22,6,10,epithermal
4,24,1,6,fast
4,32,8,10,fast
4,34,9,5,fast
4,35,8,10,thermal
4,37,9,5,thermal
4,38,8,11,fast
4,41,9,9,thermal
4,43,6,4,thermal
4,44,14,5,thermal
4,47,9,10,epithermal
4,49,12,7,epithermal
5,63,5,6,fast
5,64,3,5,fast
5,65,7,5,fast
5,66,7,9,fast
5,67,8,10,fast
5,68,8,10,fast
5,69,9,5,fast
5,70,9,9,fast
5,71,6,4,fast
5,72,14,5,fast
5,56,2,5,fast
5,57,6,3,epithermal
5,58,10,10,fast
5,59,10,8,fast
5,60,8,5,fast
5,61,9,7,fast
5,62,13,6,fast
5,52,6,9,epithermal
5,53,12,10,epithermal
5,50,9,9,thermal
5,3,10,7,thermal
5,7,8,3,epithermal
5,10,5,6,thermal
5,13,5,6,thermal
5,15,3,5,thermal
5,17,8,7,epithermal
5,18,7,5,thermal
5,20,7,9,thermal
5,22,4,10,thermal
5,24,0,8,fast
5,32,9,9,fast
5,34,9,6,fast
5,35,8,10,thermal
5,37,9,5,thermal
5,38,10,11,fast
5,41,9,9,thermal
5,43,6,4,thermal
5,44,14,5,thermal
5,47,11,12,epithermal
5,49,12,6,epithermal
6,73,9,9,fast
6,74,10,7,fast
6,75,5,6,fast
6,76,5,6,fast
6,77,3,5,fast
6,78,7,9,fast
6,79,7,9,fast
6,80,8,10,fast
6,81,8,10,fast
6,63,7,4,epithermal
6,64,3,6,fast
6,65,7,3,fast
6,67,6,12,fast
6,68,8,12,epithermal
6,70,11,11,fast
6,71,7,2,fast
6,72,14,3,fast
6,56,2,7,fast
6,57,5,3,thermal
6,58,9,9,fast
6,59,8,7,fast
6,60,7,3,fast
6,61,10,9,epithermal
6,62,13,8,fast
6,53,11,11,thermal
6,50,9,9,thermal
6,3,10,7,thermal
6,7,8,2,thermal
6,10,5,6,thermal
6,13,5,6,thermal
6,15,3,5,thermal
6,18,9,7,thermal
6,20,7,9,thermal
6,22,4,12,thermal
6,32,11,9,fast
6,34,7,6,fast
6,35,8,10,thermal
6,37,9,6,thermal
6,41,8,10,thermal
6,43,6,2,thermal
6,44,12,4,thermal
6,49,10,8,epithermal
7,82,11,11,fast
7,83,9,9,fast
7,84,10,7,fast
7,85,8,2,fast
7,86,5,6,fast
7,87,3,5,fast
7,88,9,7,fast
7,89,7,9,fast
7,90,4,12,fast
7,91,4,12,fast
7,92,8,10,fast
7,93,8,10,fast
7,94,6,2,fast
7,73,11,10,fast
7,74,10,9,fast
7,75,6,8,fast
7,76,6,8,fast
7,77,3,6,fast
7,78,9,10,fast
7,79,7,11,fast
7,80,8,8,fast
7,81,8,12,fast
7,63,7,2,thermal
7,64,5,8,fast
7,67,5,11,fast
7,68,6,12,thermal
7,71,5,1,fast
7,72,14,4,epithermal
7,56,3,8,epithermal
7,57,4,2,thermal
7,58,8,8,fast
7,59,8,9,fast
7,60,6,3,fast
7,61,8,10,epithermal
7,53,11,11,thermal
7,50,9,9,thermal
7,3,10,7,thermal
7,7,8,2,thermal
7,10,5,6,thermal
7,13,4,7,thermal
7,15,3,5,thermal
7,18,9,7,thermal
7,20,7,9,thermal
7,22,4,12,thermal
7,32,9,7,epithermal
7,34,9,7,fast
7,35,8,10,thermal
7,37,7,8,thermal
7,41,8,10,thermal
7,43,6,2,thermal
7,44,11,6,thermal
7,49,10,7,epithermal
8,95,4,2,fast
8,96,11,11,fast
8,97,9,9,fast
8,98,8,2,fast
8,99,5,6,fast
8,100,4,7,fast
8,101,9,7,fast
8,102,4,12,fast
8,103,7,8,fast
8,104,8,10,fast
8,105,6,2,fast
8,106,11,6,fast
8,82,12,11,fast
8,83,9,10,fast
8,84,12,7,fast
8,85,10,3,fast
8,86,5,8,fast
8,87,5,7,fast
8,90,6,13,fast
8,91,6,12,epithermal
8,92,6,12,fast
8,75,8,7,fast
8,76,5,7,fast
8,77,5,8,fast
8,79,9,13,fast
8,81,6,10,fast
8,63,9,3,thermal
8,64,7,8,fast
8,67,5,10,fast
8,68,4,10,thermal
8,71,4,2,epithermal
8,56,5,8,thermal
8,57,4,2,thermal
8,59,10,8,fast
8,60,6,4,epithermal
8,61,8,8,thermal
8,53,11,11,thermal
8,50,9,9,thermal
8,3,12,8,thermal
8,7,8,2,thermal
8,10,5,6,thermal
8,13,4,7,thermal
8,15,2,3,thermal
8,18,9,7,thermal
8,20,5,8,thermal
8,22,4,12,thermal
8,32,10,7,epithermal
8,34,7,7,fast
8,35,6,10,thermal
8,37,7,8,thermal
8,41,8,10,thermal
8,43,6,2,thermal
8,44,11,6,thermal
9,107,11,11,fast
9,108,9,9,fast
9,109,12,8,fast
9,110,8,2,fast
9,111,8,2,fast
9,112,5,8,fast
9,113,7,8,fast
9,114,7,8,fast
9,115,11,6,fast
9,95,6,4,fast
9,96,12,11,fast
9,99,7,7,fast
9,101,10,5,fast
9,103,5,10,fast
9,104,8,11,fast
9,105,4,4,fast
9,106,11,4,fast
9,82,12,12,epithermal
9,83,9,8,fast
9,84,13,5,fast
9,85,10,2,fast
9,87,7,6,fast
9,90,7,13,fast
9,91,4,14,thermal
9,92,6,13,fast
9,75,10,7,fast
9,76,7,5,fast
9,77,6,7,fast
9,81,4,12,epithermal
9,63,11,4,thermal
9,64,9,7,fast
9,68,2,9,thermal
9,56,5,7,thermal
9,57,4,3,thermal
9,59,10,9,fast
9,60,4,6,epithermal
9,61,9,9,thermal
9,53,11,11,thermal
9,50,9,9,thermal
9,3,12,8,thermal
9,7,8,2,thermal
9,10,3,6,thermal
9,13,5,7,thermal
9,15,4,3,thermal
9,18,7,9,thermal
9,20,5,8,thermal
9,22,4,11,thermal
9,32,10,9,thermal
9,34,7,5,fast
9,35,6,8,thermal
9,37,7,8,thermal
9,41,7,8,thermal
9,43,4,2,thermal
9,44,11,6,thermal
10,116,4,14,fast
10,117,5,7,fast
10,118,11,11,fast
10,119,9,9,fast
10,120,12,8,fast
10,121,8,2,fast
10,122,3,6,fast
10,123,5,7,fast
10,124,10,9,fast
10,125,7,8,fast
10,126,4,2,fast
10,127,11,6,fast
10,108,10,7,epithermal
10,109,11,10,epithermal
10,111,6,0,fast
10,114,5,10,epithermal
10,95,7,4,epithermal
10,96,14,9,fast
10,99,8,9,fast
10,103,7,10,fast
10,106,13,4,fast
10,82,12,14,thermal
10,85,11,2,fast
10,87,9,7,fast
10,90,5,13,fast
10,91,4,14,thermal
10,92,7,13,epithermal
10,75,8,7,fast
10,76,9,5,fast
10,81,3,13,epithermal
10,63,10,5,thermal
10,64,7,6,epithermal
10,68,2,7,thermal
10,56,5,7,thermal
10,57,5,3,thermal
10,60,5,6,epithermal
10,61,8,7,thermal
10,53,11,11,thermal
10,50,9,9,thermal
10,3,12,8,thermal
10,7,8,2,thermal
10,10,3,6,thermal
10,13,5,7,thermal
10,15,3,4,thermal
10,18,7,7,thermal
10,20,7,9,thermal
10,22,2,12,thermal
10,32,10,9,thermal
10,34,5,4,fast
10,35,6,7,thermal
10,37,6,7,thermal
10,41,7,8,thermal
10,43,4,2,thermal
10,44,11,6,thermal
11,128,12,14,fast
11,129,2,7,fast
11,130,8,7,fast
11,131,9,9,fast
11,132,12,8,fast
11,133,7,7,fast
11,134,6,7,fast
11,135,11,6,fast
11,116,3,14,fast
11,118,11,13,epithermal
11,119,9,10,fast
11,120,11,6,fast
11,121,8,0,fast
11,123,4,7,epithermal
11,125,7,10,epithermal
11,126,3,0,fast
11,127,13,6,fast
11,108,11,7,epithermal
11,109,10,8,thermal
11,111,5,0,fast
11,114,6,12,epithermal
11,95,5,2,epithermal
11,96,13,9,epithermal
11,99,6,10,fast
11,103,7,8,fast
11,82,12,14,thermal
11,87,9,6,fast
11,91,3,12,thermal
11,75,7,9,fast
11,76,11,7,fast
11,81,2,12,epithermal
11,63,9,4,thermal
11,64,7,7,epithermal
11,68,2,7,thermal
11,56,6,7,thermal
11,57,5,2,thermal
11,60,6,5,epithermal
11,61,8,7,thermal
11,53,13,9,thermal
11,50,9,9,thermal
11,3,12,8,thermal
11,7,8,3,thermal
11,10,2,5,thermal
11,13,4,5,thermal
11,15,5,6,thermal
11,18,7,7,thermal
11,20,5,10,thermal
11,22,3,11,thermal
11,32,10,8,thermal
11,34,7,2,fast
11,35,6,7,thermal
11,37,5,9,thermal
11,41,9,8,thermal
11,43,3,2,thermal
11,44,11,6,thermal
12,136,3,12,fast
12,137,5,2,fast
12,138,8,3,fast
12,139,7,7,fast
12,140,10,8,fast
12,141,5,9,fast
12,142,9,8,fast
12,143,3,2,fast
12,129,2,6,fast
12,130,7,5,fast
12,131,11,9,fast
12,133,9,8,epithermal
12,134,4,5,epithermal
12,135,10,5,fast
12,116,1,12,fast
12,119,9,12,epithermal
12,120,11,4,fast
12,125,7,9,epithermal
12,127,13,7,fast
12,109,11,7,thermal
12,114,6,10,epithermal
12,95,4,4,thermal
12,99,7,8,epithermal
12,103,5,9,fast
12,82,14,14,thermal
12,87,8,8,fast
12,91,3,12,thermal
12,76,12,6,fast
12,63,10,5,thermal
12,64,6,6,epithermal
12,68,3,7,thermal
12,56,5,9,thermal
12,57,5,2,thermal
12,61,8,6,thermal
12,53,11,11,thermal
12,50,7,11,thermal
12,3,12,9,thermal
12,7,8,3,thermal
12,10,1,6,thermal
12,13,4,6,thermal
12,15,5,7,thermal
12,18,7,7,thermal
12,20,4,11,thermal
12,22,3,12,thermal
12,32,10,8,thermal
12,35,7,6,thermal
12,37,5,9,thermal
12,41,9,8,thermal
12,43,3,2,thermal
12,44,10,7,thermal
13,144,14,14,fast
13,145,3,7,fast
13,146,5,9,fast
13,147,5,2,fast
13,148,8,6,fast
13,149,11,11,fast
13,150,5,7,fast
13,151,7,7,fast
13,152,7,6,fast
13,153,9,8,fast
13,154,3,2,fast
13,137,7,0,fast
13,138,8,2,epithermal
13,140,10,7,fast
13,141,6,7,fast
13,142,11,6,fast
13,129,0,5,fast
13,130,7,7,fast
13,134,5,7,epithermal
13,116,0,10,fast
13,120,11,6,fast
13,125,5,11,thermal
13,127,13,6,fast
13,109,13,9,thermal
13,114,8,10,epithermal
13,95,6,4,thermal
13,103,3,8,fast
13,82,14,14,thermal
13,91,2,10,thermal
13,76,13,4,epithermal
13,63,11,5,thermal
13,68,3,7,thermal
