time_step,nb_neutrons,power_mw,temperature_k
0,127,0.0,300.0
1,88,0.0,300.0
2,79,0.0,300.0
3,65,431.99999999999994,304.32
4,66,239.99999999999997,306.6984
5,59,431.99999999999994,310.984908
6,63,335.99999999999994,314.28998346000003
7,72,624.0,320.4585335427
8,73,576.0,326.11624087498654
9,68,576.0,331.7456596706116
10,73,479.99999999999994,336.3869313722585
11,89,527.9999999999999,341.48499671539724
12,90,815.9999999999999,349.43757173182024
13,76,720.0,356.3903838731611
14,80,335.99999999999994,359.4684319537953
15,74,576.0,364.9310897940263
16,69,431.99999999999994,368.9264343450562
17,77,431.99999999999994,372.9018021733309
18,80,671.9999999999999,379.25729316246424
19,77,576.0,384.62100669665193
