time_step,neutron_id,x,y,type
0,0,2,5,fast
0,1,12,1,fast
0,3,8,3,fast
0,4,2,2,fast
0,5,1,12,fast
0,6,1,5,fast
0,8,1,9,fast
0,9,3,13,fast
0,11,2,12,fast
0,12,11,10,fast
0,13,1,5,fast
0,15,0,13,fast
0,17,7,5,fast
0,18,6,12,epithermal
0,19,3,3,fast
0,21,10,3,fast
0,22,2,1,fast
0,23,3,9,fast
0,24,6,13,epithermal
0,25,0,3,fast
0,26,9,9,fast
0,27,3,12,fast
0,28,14,3,fast
0,29,10,0,fast
0,31,12,11,fast
0,32,5,5,fast
0,33,1,11,fast
0,34,2,14,fast
0,35,6,1,epithermal
0,38,13,3,epithermal
0,40,10,5,epithermal
0,41,9,13,epithermal
0,43,13,1,fast
0,44,11,1,fast
0,45,2,1,fast
0,46,5,10,fast
0,48,10,0,fast
0,49,0,13,fast
0,51,14,7,epithermal
0,52,9,6,epithermal
0,55,4,2,fast
0,56,4,9,fast
0,57,10,11,fast
0,59,12,1,fast
0,60,9,8,fast
0,61,6,8,fast
0,62,8,11,fast
0,65,7,13,fast
0,66,9,10,fast
0,67,11,1,fast
0,68,1,9,epithermal
0,69,9,12,fast
0,70,4,11,epithermal
0,71,10,2,fast
0,72,1,8,fast
0,73,8,6,fast
0,75,4,7,epithermal
0,76,9,12,fast
0,78,14,4,fast
0,79,1,0,fast
0,80,10,3,epithermal
0,83,8,12,fast
0,88,8,13,fast
0,89,6,12,fast
0,90,13,6,fast
0,91,0,12,fast
0,92,3,10,epithermal
0,93,5,3,epithermal
0,94,11,8,fast
0,96,13,10,epithermal
0,97,8,14,fast
0,98,10,10,fast
0,99,4,12,fast
0,100,9,7,fast
0,102,13,3,fast
0,103,3,12,fast
0,104,6,1,fast
0,105,3,2,fast
0,107,9,5,epithermal
0,108,6,12,fast
0,111,7,13,fast
0,112,4,11,fast
0,114,8,12,epithermal
0,115,8,1,fast
0,116,9,13,epithermal
0,117,8,12,fast
0,118,1,10,epithermal
0,119,7,11,fast
0,123,7,13,fast
0,124,12,5,fast
0,125,2,13,fast
0,126,3,13,fast
0,127,1,10,fast
0,128,5,13,fast
0,132,7,14,fast
0,133,0,5,fast
0,137,10,9,fast
0,138,11,3,fast
0,140,2,4,fast
0,141,5,3,fast
0,142,1,5,fast
0,143,11,7,epithermal
0,144,9,2,epithermal
0,146,9,5,epithermal
0,148,10,11,epithermal
0,150,5,12,fast
0,152,1,3,epithermal
0,154,9,9,fast
0,155,3,12,fast
0,156,8,9,fast
0,157,4,9,fast
0,158,6,8,epithermal
0,159,7,4,fast
0,160,6,7,fast
0,161,2,4,fast
0,162,4,12,fast
0,164,9,6,epithermal
0,165,9,2,epithermal
0,168,0,9,epithermal
0,169,2,10,epithermal
0,170,8,11,epithermal
0,171,7,3,fast
0,176,12,0,fast
0,177,14,8,fast
0,179,6,6,fast
0,180,2,4,epithermal
0,181,6,9,fast
0,182,14,7,fast
0,184,7,11,fast
0,186,10,1,epithermal
0,187,10,6,epithermal
0,189,1,12,fast
0,190,13,9,epithermal
0,191,10,8,fast
0,192,12,3,fast
0,194,10,14,fast
0,196,1,9,fast
0,197,11,8,epithermal
1,1,14,2,fast
1,3,9,2,fast
1,4,1,3,fast
1,5,3,12,fast
1,8,0,10,fast
1,9,3,12,epithermal
1,11,3,11,fast
1,12,9,12,fast
1,13,1,6,fast
1,17,7,4,fast
1,19,4,2,epithermal
1,21,11,5,fast
1,22,2,2,fast
1,24,5,14,thermal
1,26,10,9,fast
1,31,11,11,fast
1,32,3,7,fast
1,35,4,2,epithermal
1,40,10,3,thermal
1,44,12,0,epithermal
1,45,4,2,fast
1,46,3,10,epithermal
1,49,0,14,fast
1,51,14,9,thermal
1,52,9,5,thermal
1,55,3,1,fast
1,56,5,9,epithermal
1,57,8,10,fast
1,61,8,9,epithermal
1,62,6,12,epithermal
1,68,3,8,epithermal
1,69,8,12,epithermal
1,70,5,10,epithermal
1,71,9,4,fast
1,72,3,10,fast
1,73,6,7,fast
1,75,2,7,thermal
1,76,9,14,fast
1,79,3,0,epithermal
1,80,11,3,epithermal
1,83,10,12,fast
1,88,9,11,fast
1,89,4,13,fast
1,90,11,8,fast
1,92,5,10,epithermal
1,93,4,5,epithermal
1,94,12,8,fast
1,96,13,9,epithermal
1,97,6,14,epithermal
1,98,8,9,fast
1,99,6,10,fast
1,100,8,6,fast
1,102,13,2,fast
1,104,6,0,fast
1,107,9,4,thermal
1,108,4,14,fast
1,112,5,9,fast
1,114,6,12,thermal
1,116,9,14,epithermal
1,117,6,12,epithermal
1,118,0,9,epithermal
1,123,7,11,fast
1,124,12,3,fast
1,125,4,13,fast
1,126,3,14,fast
1,127,1,11,fast
1,132,8,12,fast
1,133,0,7,fast
1,137,9,8,fast
1,138,9,4,fast
1,140,0,5,fast
1,141,5,4,fast
1,142,1,6,epithermal
1,144,10,4,epithermal
1,146,11,3,epithermal
1,148,11,13,epithermal
1,150,3,13,fast
1,152,1,4,thermal
1,154,11,8,fast
1,156,7,7,fast
1,157,6,9,epithermal
1,158,6,10,thermal
1,159,9,4,epithermal
1,161,1,5,fast
1,162,5,10,epithermal
1,164,10,6,epithermal
1,165,10,2,thermal
1,169,4,8,epithermal
1,170,7,9,epithermal
1,171,5,3,fast
1,176,13,0,fast
1,177,13,9,fast
1,179,5,6,fast
1,181,4,9,fast
1,184,9,11,fast
1,186,8,1,epithermal
1,191,10,6,fast
1,192,10,5,fast
1,194,8,14,epithermal
1,197,13,8,epithermal
2,200,5,14,fast
2,201,5,14,fast
2,202,5,14,fast
2,203,14,9,fast
2,204,2,7,fast
2,205,10,2,fast
2,1,12,4,fast
2,4,2,5,epithermal
2,5,3,14,fast
2,9,4,10,epithermal
2,11,2,10,fast
2,12,9,10,epithermal
2,13,2,6,epithermal
2,19,5,4,epithermal
2,21,10,5,fast
2,22,4,4,fast
2,24,5,14,thermal
2,31,11,10,fast
2,32,4,7,fast
2,35,4,3,epithermal
2,40,10,5,thermal
2,45,4,3,fast
2,51,14,9,thermal
2,52,9,3,thermal
2,55,3,2,epithermal
2,56,7,9,thermal
2,61,10,8,epithermal
2,62,5,14,epithermal
2,68,4,8,epithermal
2,69,6,12,epithermal
2,70,3,10,epithermal
2,71,7,3,fast
2,72,4,10,fast
2,75,2,7,thermal
2,76,7,14,fast
2,83,8,13,epithermal
2,88,9,12,fast
2,89,3,14,epithermal
2,90,11,9,fast
2,93,6,4,epithermal
2,96,11,9,thermal
2,97,4,13,epithermal
2,98,8,8,fast
2,99,4,12,fast
2,104,8,0,epithermal
2,107,9,2,thermal
2,108,2,14,fast
2,112,7,9,fast
2,117,5,12,thermal
2,123,6,11,fast
2,124,14,4,fast
2,125,6,11,epithermal
2,127,0,11,fast
2,132,6,12,fast
2,133,1,7,fast
2,138,8,4,fast
2,140,0,4,fast
2,141,7,6,fast
2,142,1,5,epithermal
2,144,9,5,thermal
2,146,13,4,thermal
2,150,5,13,fast
2,152,1,6,thermal
2,156,6,6,fast
2,157,6,7,epithermal
2,158,6,12,thermal
2,161,0,3,fast
2,164,10,5,thermal
2,165,10,2,thermal
2,171,6,4,epithermal
2,177,13,10,fast
2,179,4,7,fast
2,181,6,11,epithermal
2,184,9,9,epithermal
2,194,10,13,thermal
2,197,12,10,epithermal
3,206,5,14,fast
3,207,14,9,fast
3,208,9,3,fast
3,209,7,9,fast
3,210,7,9,fast
3,211,9,2,fast
3,212,13,4,fast
3,213,10,2,fast
3,214,10,13,fast
3,200,6,14,fast
3,203,12,9,fast
3,205,9,3,fast
3,9,2,10,epithermal
3,19,7,2,thermal
3,22,5,4,fast
3,24,5,14,thermal
3,31,13,10,fast
3,32,4,9,fast
3,35,5,4,epithermal
3,40,11,4,thermal
3,45,6,2,epithermal
3,51,14,9,thermal
3,52,9,3,thermal
3,55,3,3,thermal
3,56,7,9,thermal
3,61,12,7,epithermal
3,68,6,7,epithermal
3,69,4,12,thermal
3,71,9,3,epithermal
3,72,3,8,fast
3,75,0,5,thermal
3,76,9,14,fast
3,83,9,12,thermal
3,88,7,12,fast
3,89,1,14,thermal
3,90,9,10,fast
3,93,7,5,thermal
3,96,10,10,thermal
3,97,3,13,epithermal
3,98,10,8,fast
3,99,6,12,fast
3,104,10,2,epithermal
3,107,9,2,thermal
3,108,1,14,fast
3,123,7,11,fast
3,125,7,13,epithermal
3,132,4,13,fast
3,141,8,6,fast
3,144,9,7,thermal
3,146,13,4,thermal
3,150,3,11,fast
3,156,4,4,fast
3,158,6,11,thermal
3,164,12,6,thermal
3,165,10,2,thermal
3,171,7,4,thermal
3,177,13,8,epithermal
3,179,5,9,fast
3,194,10,13,thermal
4,215,5,14,fast
4,216,14,9,fast
4,217,4,12,fast
4,218,4,12,fast
4,219,4,12,fast
4,220,4,12,fast
4,221,0,5,fast
4,222,0,5,fast
4,223,0,5,fast
4,224,13,4,fast
4,225,6,11,fast
4,226,7,4,fast
4,227,7,4,fast
4,228,10,13,fast
4,229,10,13,fast
4,206,6,14,fast
4,207,14,7,fast
4,208,7,1,fast
4,209,6,9,fast
4,210,9,9,epithermal
4,211,9,0,epithermal
4,212,13,5,fast
4,214,12,13,epithermal
4,203,12,10,fast
4,205,11,3,fast
4,19,8,3,thermal
4,22,5,6,fast
4,24,5,14,thermal
4,31,11,9,fast
4,32,6,10,fast
4,35,3,5,epithermal
4,40,9,4,thermal
4,45,5,3,epithermal
4,51,14,9,thermal
4,52,8,2,thermal
4,55,3,5,thermal
4,56,7,11,thermal
4,61,13,9,epithermal
4,68,4,6,epithermal
4,69,4,12,thermal
4,71,9,4,thermal
4,72,2,7,fast
4,75,0,5,thermal
4,83,8,12,thermal
4,88,8,12,fast
4,93,6,5,thermal
4,96,9,11,thermal
4,98,9,10,fast
4,99,5,10,fast
4,104,9,1,thermal
4,108,1,13,fast
4,132,4,11,fast
4,141,10,6,fast
4,144,7,9,thermal
4,146,13,4,thermal
4,150,1,12,fast
4,156,3,6,fast
4,158,6,11,thermal
4,165,9,4,thermal
4,171,7,4,thermal
4,177,12,9,epithermal
4,179,3,8,fast
4,194,10,13,thermal
5,230,0,5,fast
5,231,9,1,fast
5,232,7,9,fast
5,233,6,11,fast
5,234,6,11,fast
5,235,7,4,fast
5,236,10,13,fast
5,237,10,13,fast
5,217,6,12,epithermal
5,218,2,14,fast
5,219,3,13,fast
5,223,0,7,fast
5,225,7,13,epithermal
5,226,7,5,fast
5,227,7,2,epithermal
5,228,11,12,fast
5,229,10,12,fast
5,207,12,6,fast
5,208,8,1,fast
5,210,8,11,thermal
5,212,12,6,fast
5,214,11,13,epithermal
5,203,14,10,fast
5,19,7,3,thermal
5,22,3,6,epithermal
5,24,6,14,thermal
5,31,12,9,fast
5,32,8,9,fast
5,35,3,6,thermal
5,45,6,3,epithermal
5,55,1,7,thermal
5,61,13,7,epithermal
5,68,3,6,epithermal
5,69,5,12,thermal
5,71,7,6,thermal
5,72,4,6,fast
5,75,0,5,thermal
5,88,6,10,fast
5,93,4,6,thermal
5,96,9,10,thermal
5,104,9,1,thermal
5,108,1,12,epithermal
5,141,12,6,fast
5,144,7,9,thermal
5,146,13,2,thermal
5,150,2,12,fast
5,156,3,8,fast
5,158,6,11,thermal
5,165,9,2,thermal
5,171,7,4,thermal
5,177,13,10,thermal
5,179,4,10,fast
5,194,10,13,thermal
6,238,8,11,fast
6,239,6,14,fast
6,240,3,6,fast
6,241,3,6,fast
6,242,7,6,fast
6,243,0,5,fast
6,244,4,6,fast
6,245,4,6,fast
6,246,9,10,fast
6,247,7,9,fast
6,248,7,9,fast
6,249,13,2,fast
6,250,13,2,fast
6,251,13,2,fast
6,252,9,2,fast
6,253,9,2,fast
6,254,7,4,fast
6,255,13,10,fast
6,232,6,8,fast
6,233,4,12,fast
6,234,7,10,fast
6,235,9,3,fast
6,236,8,11,epithermal
6,237,12,14,epithermal
6,217,4,12,thermal
6,218,1,14,epithermal
6,219,3,12,fast
6,225,9,13,epithermal
6,227,7,0,thermal
6,229,9,12,fast
6,208,6,1,epithermal
6,210,8,11,thermal
6,214,12,13,thermal
6,19,9,3,thermal
6,22,3,5,thermal
6,24,6,14,thermal
6,31,13,9,fast
6,32,8,10,fast
6,35,3,6,thermal
6,45,8,3,thermal
