time_step,nb_neutrons,power_mw,temperature_k,pos_RE01,pos_SC01
0,138,0.0,300.0,99.85,100.0
1,100,0.0,300.0,99.69999999999999,100.0
2,76,0.0,300.0,99.54999999999998,100.0
3,59,192.0,301.92,99.39999999999998,100.0
4,63,384.0,305.7504,99.24999999999997,100.0
5,53,384.0,309.561648,99.09999999999997,100.0
6,60,288.0,312.39383976,98.94999999999996,100.0
7,54,576.0,318.0918705612,98.79999999999995,100.0
8,59,431.99999999999994,322.32141120839395,98.64999999999995,100.0
9,72,479.99999999999994,327.009804152352,98.49999999999994,100.0
10,68,624.0,333.11475513159024,98.34999999999994,100.0
11,62,288.0,335.8291813559323,98.19999999999993,100.0
12,58,479.99999999999994,340.4500354491526,98.04999999999993,100.0
13,51,431.99999999999994,344.56778527190687,97.89999999999992,100.0
14,42,335.99999999999994,347.70494634554734,97.74999999999991,100.0
15,39,239.99999999999997,349.8664216138196,97.59999999999991,100.0
16,39,288.0,352.4970895057505,97.4499999999999,100.0
17,49,239.99999999999997,354.6346040582218,97.2999999999999,100.0
18,42,431.99999999999994,358.6814310379307,97.14999999999989,100.0
19,35,288.0,361.26802388274103,96.99999999999989,100.0
