time_step,nb_neutrons,power_mw,temperature_k,rod_active,scram_triggered,pos_RE01,pos_SC01
0,128,0.0,300.0,True,False,99.825,100.0
1,84,0.0,300.0,True,False,99.65,100.0
2,65,0.0,300.0,True,False,99.47500000000001,100.0
3,66,192.0,301.92,True,False,99.30000000000001,100.0
4,60,431.99999999999994,306.23040000000003,True,False,99.12500000000001,100.0
5,62,431.99999999999994,310.519248,True,False,98.95000000000002,100.0
6,55,431.99999999999994,314.78665176,True,False,98.77500000000002,100.0
7,46,239.99999999999997,317.1127185012,True,False,98.60000000000002,100.0
8,40,144.0,318.467154908694,True,False,98.42500000000003,100.0
9,44,144.0,319.8148191341505,True,False,98.25000000000003,100.0
10,43,335.99999999999994,323.0757450384798,True,False,98.07500000000003,100.0
11,47,288.0,325.8403663132874,True,False,97.90000000000003,100.0
12,41,288.0,328.59116448172097,True,False,97.72500000000004,100.0
13,39,431.99999999999994,332.76820865931234,True,False,97.55000000000004,100.0
14,44,239.99999999999997,335.00436761601577,True,False,97.37500000000004,100.0
15,47,384.0,338.6693457779357,True,False,97.20000000000005,100.0
16,36,288.0,341.35599904904603,True,False,97.02500000000005,100.0
17,35,144.0,342.5892190538008,True,False,96.85000000000005,100.0
18,38,288.0,345.2562729585318,True,False,96.67500000000005,100.0
19,33,239.99999999999997,347.42999159373915,True,False,96.50000000000006,100.0
20,34,192.0,349.11284163577045,True,False,96.32500000000006,100.0
21,36,192.0,350.7872774275916,True,False,96.15000000000006,100.0
22,38,144.0,351.97334104045365,True,False,95.97500000000007,100.0
23,50,288.0,354.59347433525136,True,False,95.80000000000007,100.0
24,46,239.99999999999997,356.7205069635751,True,False,95.62500000000007,100.0
25,50,288.0,359.3169044287572,True,False,95.45000000000007,100.0
26,52,384.0,362.8603199066134,True,False,95.27500000000008,100.0
27,52,288.0,365.42601830708037,True,False,95.10000000000008,100.0
28,60,576.0,370.858888215545,True,False,94.92500000000008,100.0
29,61,431.99999999999994,374.82459377446725,True,False,94.75000000000009,100.0
30,50,431.99999999999994,378.7704708055949,True,False,94.57500000000009,100.0
31,50,192.0,380.2966184515669,True,False,94.40000000000009,100.0
32,45,335.99999999999994,383.25513535930907,True,False,94.2250000000001,100.0
33,50,239.99999999999997,385.2388596825125,True,False,94.0500000000001,100.0
34,65,479.99999999999994,389.61266538409996,True,False,93.8750000000001,100.0
35,81,431.99999999999994,393.4846020571795,True,False,93.7000000000001,100.0
36,68,624.0,399.25717904689355,True,False,93.5250000000001,100.0
37,64,384.0,402.6008931516591,True,False,93.35000000000011,100.0
38,67,479.99999999999994,406.8878886859008,True,False,93.17500000000011,100.0
39,76,431.99999999999994,410.6734492424713,True,False,93.00000000000011,100.0
40,72,576.0,415.8800819962589,True,False,92.82500000000012,100.0
41,85,335.99999999999994,418.66068158627763,True,False,92.65000000000012,100.0
42,82,527.9999999999999,423.3473781783462,True,False,92.47500000000012,100.0
