time_step,nb_neutrons,power_mw,temperature_k,rod_active,scram_triggered,pos_RE01,pos_SC01,fissions_prod_2,fissions_prod_3,fissions_prod_4,fissions_prod_5
0,132,0.0,300.0,True,False,100.0,100.0,0,0,0,0
1,88,0.0,300.0,True,False,100.0,100.0,0,0,0,0
2,63,0.0,300.0,True,False,100.0,100.0,3,0,0,0
3,60,144.0,301.44,True,False,100.0,100.0,5,0,0,0
4,64,239.99999999999997,303.8328,True,False,95.0,100.0,8,0,0,0
5,74,384.0,307.653636,True,False,90.0,100.0,11,0,0,0
6,76,527.9999999999999,312.89536782,True,False,85.0,100.0,10,0,0,0
7,75,479.99999999999994,317.6308909809,True,False,80.0,100.0,10,0,0,0
8,75,479.99999999999994,322.3427365259955,True,False,75.0,100.0,10,0,0,0
9,68,479.99999999999994,327.0310228433655,True,False,73.97142857142858,100.0,6,0,0,0
