time_step,neutron_id,x,y,type
0,0,9,5,epithermal
0,1,7,12,epithermal
0,3,9,12,fast
0,4,5,12,fast
0,5,10,2,fast
0,6,12,10,fast
0,8,0,6,fast
0,9,1,9,fast
0,10,3,4,fast
0,14,1,7,fast
0,15,9,10,fast
0,16,14,3,fast
0,17,11,9,epithermal
0,18,7,5,fast
0,19,11,11,fast
0,20,7,3,fast
0,21,9,12,fast
0,22,8,3,epithermal
0,23,12,9,epithermal
0,24,9,11,fast
0,25,5,9,fast
0,26,6,3,fast
0,27,9,7,fast
0,29,10,2,epithermal
0,30,2,6,fast
0,33,14,2,fast
0,34,7,8,fast
0,36,7,11,epithermal
0,37,10,3,fast
0,38,1,10,fast
0,39,10,10,fast
0,40,10,3,fast
0,41,3,9,fast
0,42,12,14,fast
0,43,4,12,fast
0,44,12,3,fast
0,51,12,0,fast
0,52,4,6,fast
0,53,1,0,fast
0,55,9,14,fast
0,57,7,10,epithermal
0,59,14,0,epithermal
0,60,9,1,fast
0,61,8,14,fast
0,62,1,5,epithermal
0,63,2,2,fast
0,64,2,9,epithermal
0,66,2,6,fast
0,69,9,2,fast
0,70,5,11,fast
0,71,4,7,epithermal
0,72,2,9,fast
0,75,12,12,epithermal
0,77,4,4,epithermal
0,78,13,13,epithermal
0,79,8,4,epithermal
0,80,14,12,fast
0,82,7,3,fast
0,83,3,5,fast
0,84,10,0,fast
0,86,0,8,epithermal
0,88,3,2,fast
0,89,3,13,fast
0,91,0,0,fast
0,92,1,3,fast
0,93,6,10,fast
0,94,13,10,fast
0,95,13,3,fast
0,98,2,5,epithermal
0,99,9,3,fast
0,100,5,1,epithermal
0,103,9,9,epithermal
0,104,8,0,fast
0,106,10,3,fast
0,108,2,10,fast
0,109,6,3,fast
0,110,6,8,epithermal
0,113,12,7,fast
0,116,14,13,fast
0,117,5,3,epithermal
0,118,10,4,fast
0,119,7,3,fast
0,120,10,0,fast
0,122,0,6,fast
0,123,13,10,fast
0,125,5,9,epithermal
0,126,2,12,fast
0,129,10,6,fast
0,130,1,0,fast
0,132,12,3,fast
0,133,5,3,fast
0,135,6,8,epithermal
0,137,2,3,fast
0,139,10,2,fast
0,141,7,11,fast
0,143,9,1,fast
0,145,2,3,epithermal
0,146,13,9,fast
0,151,1,1,fast
0,152,3,10,fast
0,154,10,1,fast
0,155,10,2,epithermal
0,156,11,11,fast
0,157,3,5,fast
0,158,10,2,fast
0,159,7,11,epithermal
0,160,1,5,fast
0,165,3,6,fast
0,168,13,0,fast
0,169,11,6,epithermal
0,170,11,2,epithermal
0,172,5,6,fast
0,173,4,10,fast
0,174,5,5,fast
0,176,0,12,epithermal
0,177,5,1,fast
0,183,11,0,fast
0,185,4,12,epithermal
0,186,13,13,epithermal
0,187,13,2,fast
0,190,7,11,fast
0,192,13,10,fast
0,193,8,1,fast
0,196,9,10,epithermal
0,197,10,13,fast
0,199,2,1,fast
1,0,9,4,epithermal
1,1,7,14,epithermal
1,3,9,13,fast
1,4,3,14,epithermal
1,5,11,1,epithermal
1,6,11,11,fast
1,8,2,4,fast
1,10,4,4,fast
1,15,8,10,epithermal
1,16,14,4,epithermal
1,18,7,6,fast
1,20,9,3,fast
1,22,6,4,thermal
1,23,14,11,thermal
1,24,9,13,epithermal
1,25,6,9,fast
1,29,10,3,epithermal
1,30,3,6,fast
1,33,13,2,fast
1,34,9,8,fast
1,38,1,11,fast
1,39,12,10,epithermal
1,41,1,9,fast
1,44,13,2,fast
1,52,5,8,epithermal
1,53,0,0,fast
1,55,7,13,epithermal
1,59,13,0,thermal
1,60,10,1,fast
1,63,3,4,epithermal
1,66,2,5,fast
1,69,7,1,fast
1,71,3,5,epithermal
1,75,11,14,epithermal
1,78,12,11,thermal
1,79,6,2,epithermal
1,82,7,5,fast
1,83,2,4,fast
1,88,1,1,fast
1,89,2,14,epithermal
1,93,8,8,fast
1,94,12,8,fast
1,98,2,7,thermal
1,99,11,5,fast
1,100,7,0,epithermal
1,106,10,5,epithermal
1,108,4,10,epithermal
1,110,8,9,epithermal
1,113,13,8,fast
1,117,6,3,thermal
1,118,11,2,fast
1,119,9,5,fast
1,123,14,12,fast
1,126,4,14,fast
1,129,8,6,fast
1,132,13,5,fast
1,133,5,1,fast
1,135,6,9,thermal
1,137,3,4,fast
1,139,8,0,fast
1,141,9,11,fast
1,146,11,8,fast
1,151,3,2,fast
1,152,5,11,fast
1,154,11,3,fast
1,155,8,2,epithermal
1,156,9,13,fast
1,158,11,3,fast
1,159,5,12,thermal
1,165,3,7,epithermal
1,168,12,1,fast
1,169,9,6,epithermal
1,170,11,1,epithermal
1,173,2,10,fast
1,176,2,11,epithermal
1,177,3,0,fast
1,183,9,2,fast
1,185,2,14,thermal
1,190,7,10,epithermal
1,192,11,9,fast
1,193,8,2,fast
1,196,8,8,thermal
1,197,9,14,epithermal
2,200,13,0,fast
2,201,13,0,fast
2,202,12,11,fast
2,203,2,14,fast
2,204,2,14,fast
2,205,2,14,fast
2,206,8,8,fast
2,1,7,12,thermal
2,4,2,13,thermal
2,5,9,1,thermal
2,8,1,2,fast
2,10,5,6,fast
2,15,10,10,epithermal
2,16,12,2,epithermal
2,18,6,6,fast
2,20,8,1,fast
2,22,6,3,thermal
2,23,14,9,thermal
