time_step,nb_neutrons,power_mw,temperature_k
0,126,0.0,300.0
1,83,0.0,300.0
2,67,0.0,300.0
3,54,192.0,301.92
4,50,335.99999999999994,305.2704
5,41,384.0,309.084048
6,33,192.0,310.95862776
7,36,96.0,311.8638346212
8,35,288.0,314.684515448094
9,40,288.0,317.4910928708535
10,38,288.0,320.2836374064992
11,39,239.99999999999997,322.5822192194667
12,32,288.0,325.3493081233694
13,26,96.0,326.18256158275256
14,38,96.0,327.0116487748388
15,34,431.99999999999994,331.1965905309646
16,30,239.99999999999997,333.44060757830977
17,29,239.99999999999997,335.67340454041823
18,34,192.0,337.41503751771614
19,33,239.99999999999997,339.62796233012756
